,Study ID,first author,booster vaccine,reference group,VE,LCL,UCL,timing_of_dose_days,population_category,outcome_category,time_sup,time_inf
1988,153,Grewal,Moderna,unvaccinated individuals,86.0,79.0,90.0,33,≥ 80 years,severe,59,7
1990,153,Grewal,Moderna,complete vaccination with 2 doses,79.0,72.0,84.0,33,50-59 years,severe,59,7
1991,153,Grewal,Moderna,complete vaccination with 2 doses,57.0,35.0,72.0,89,50-59 years,severe,119,60
1992,153,Grewal,Moderna,complete vaccination with 2 doses,89.0,69.0,96.0,33,50-59 years,severe,59,7
1994,153,Grewal,Moderna,complete vaccination with 2 doses,87.0,83.0,90.0,33,60-69 years,severe,59,7
1996,153,Grewal,Moderna,complete vaccination with 2 doses,83.0,74.0,89.0,33,60-69 years,severe,59,7
1998,153,Grewal,Moderna,complete vaccination with 2 doses,83.0,79.0,86.0,33,70-79 years,severe,59,7
2000,153,Grewal,Moderna,complete vaccination with 2 doses,80.0,74.0,85.0,33,70-79 years,severe,59,7
2002,153,Grewal,Moderna,complete vaccination with 2 doses,77.0,72.0,80.0,33,≥ 80 years,severe,59,7
2004,153,Grewal,Moderna,complete vaccination with 2 doses,82.0,78.0,86.0,33,≥ 80 years,severe,59,7
2010,158,Fabiani,Moderna,complete vaccination with 3 doses at least 4 months prior,28.5,24.7,32.1,21,≥ 80 years,infection,28,14
2011,158,Fabiani,Moderna,complete vaccination with 3 doses at least 4 months prior,7.6,-14.1,18.3,42,≥ 80 years,infection,56,28
2012,158,Fabiani,Moderna,complete vaccination with 3 doses at least 4 months prior,43.2,30.6,54.9,21,≥ 80 years,severe,28,14
2013,158,Fabiani,Moderna,complete vaccination with 3 doses at least 4 months prior,27.2,8.3,42.9,42,≥ 80 years,severe,56,28
2015,159,Chemaitelly,Moderna,complete vaccination with 2 doses at least 6 months prior,57.1,55.9,58.3,22,general pop,infection,37,7
2033,171,Nittayasoot,Moderna,unvaccinated individuals,99.0,92.6,99.8,51,general pop,severe,89,14
2037,172,Carazo,Moderna,unvaccinated individuals,96.0,92.0,98.0,48,≥ 60 years,severe,90,7
2040,172,Carazo,Moderna,unvaccinated individuals,82.0,78.0,86.0,48,≥ 60 years,severe,90,7
2041,172,Carazo,Moderna,unvaccinated individuals,85.0,69.0,93.0,135,≥ 60 years,severe,179,91
2044,172,Carazo,Moderna,unvaccinated individuals,80.0,76.0,83.0,48,≥ 60 years,severe,90,7
2045,172,Carazo,Moderna,unvaccinated individuals,75.0,-9.0,94.0,314,≥ 60 years,severe,359,270
2048,172,Carazo,Moderna,unvaccinated individuals,73.0,67.0,78.0,48,≥ 60 years,severe,90,7
2049,172,Carazo,Moderna,unvaccinated individuals,57.0,11.0,79.0,135,≥ 60 years,severe,179,91
2077,177,Tamandiou,Moderna,complete vaccination with primary series plus any mRNA booster dose received 6-7 months prior,39.3,37.8,40.7,18,≥ 60 years,symptomatic,30,7
2078,177,Tamandiou,Moderna,complete vaccination with primary series plus any mRNA booster dose received 6-7 months prior,-32.6,-39.1,26.4,195,≥ 60 years,symptomatic,210,180
2106,182,Lin,Moderna,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,24.4,14.4,33.2,1,5-11 years,infection,1,1
2107,182,Lin,Moderna,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,19.3,6.9,30.0,5,5-11 years,infection,5,5
2108,182,Lin,Moderna,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,76.7,45.7,90.0,1,5-11 years,infection,1,1
2109,182,Lin,Moderna,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,47.3,-17.9,76.4,2,5-11 years,infection,2,2
2111,183,Link-Gelles,Moderna,vaccination with 2 or 3 doses of monovalent mRNA vaccine,51.0,43.0,58.0,36,general pop,symptomatic,59,14
2112,183,Link-Gelles,Moderna,vaccination with 2 or 3 doses of monovalent mRNA vaccine,52.0,48.0,56.0,89,general pop,symptomatic,119,60
2114,183,Link-Gelles,Moderna,vaccination with 2 or 3 doses of monovalent mRNA vaccine,50.0,36.0,61.0,36,general pop,symptomatic,59,14
2115,183,Link-Gelles,Moderna,vaccination with 2 or 3 doses of monovalent mRNA vaccine,48.0,39.0,55.0,89,general pop,symptomatic,119,60
2117,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",54.0,43.0,63.0,36,50-64 years,symptomatic,59,14
2118,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",39.0,30.0,46.0,89,50-64 years,symptomatic,119,60
2120,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",55.0,42.0,65.0,36,≥ 65 years,symptomatic,59,14
2121,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",32.0,21.0,40.0,89,≥ 65 years,symptomatic,119,60
2123,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",45.0,25.0,60.0,36,50-64 years,symptomatic,59,14
2124,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",38.0,24.0,50.0,89,50-64 years,symptomatic,119,60
2126,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",50.0,24.0,68.0,36,≥ 65 years,symptomatic,59,14
2127,183,Link-Gelles,Moderna,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",42.0,26.0,54.0,89,≥ 65 years,symptomatic,119,60
2128,184,Lin,Moderna,complete primary vaccination,15.8,-39.5,49.1,57,≥ 12 years,severe,99,15
2129,184,Lin,Moderna,complete primary vaccination,4.2,-50.1,38.8,57,≥ 12 years,severe,99,15
2130,184,Lin,Moderna,complete primary + first booster vaccination (3 doses),28.0,-3.2,49.8,57,≥ 12 years,severe,99,15
2131,184,Lin,Moderna,complete primary + first booster vaccination (3 doses),32.2,4.5,51.8,57,≥ 12 years,severe,99,15
2132,184,Lin,Moderna,complete primary vaccination,54.0,-6.3,80.1,57,≥ 12 years,severe,99,15
2133,184,Lin,Moderna,complete primary vaccination,54.0,-0.3,78.9,57,≥ 12 years,severe,99,15
2134,184,Lin,Moderna,complete primary + first booster vaccination (3 doses),61.9,43.6,74.3,57,≥ 12 years,severe,99,15
2135,184,Lin,Moderna,complete primary + first booster vaccination (3 doses),64.0,47.0,75.5,57,≥ 12 years,severe,99,15
2136,184,Lin,Moderna,complete primary + first and second booster vaccination (4 doses),55.7,12.0,77.7,57,≥ 12 years,severe,99,15
2137,184,Lin,Moderna,complete primary + first and second booster vaccination (4 doses),63.1,27.3,81.2,57,≥ 12 years,severe,99,15
